day;publisher_id2;publisher_name;placement_id;placement_name;site_id;site_name;size;buyer_member_id;buyer_member_name;seller_member_id;seller_member_name;advertiser_id;advertiser_name;line_item_id;line_item_name;campaign_id;campaign_name;bid_type;advertiser_currency;publisher_currency;imp_type_id;imp_type;campaign_priority;media_type_id;media_type;line_item_type;payment_type;revenue_type;pub_rule_name;imps;clicks;total_convs;revenue
9/27/2016;497836;Unexposed Publisher;5715279;Hidden Placement;1577122;Hidden Site ( 1577122);728x90;2437;Canadian Programmatic Marketplace;1356;bRealTime (select);526841;Transcontinental Media SENC;3386605;La Nouvelle  Union Week-End - 6707358 - L000503101 - 9/25/2016 - 5;14429000;La Nouvelle  Union Week-End - 6707358 - L000503101 - 9/25/2016 - 5 - Segment;manual;USD;USD;7;RTB;6;1;banner;Bundle;CPM;Flat CPM;--;2;0;0;0.00462
9/27/2016;0;--;6184825;Hidden Placement;1753542;Hidden Site ( 1753542);300x250;2437;Canadian Programmatic Marketplace;3561;AdThrive, LLC;526841;Transcontinental Media SENC;3386736;L'Action week end - 6930973 - L000773973 - 9/25/2016 - 32;14429214;L'Action week end - 6930973 - L000773973 - 9/25/2016 - 32 - Segment;manual;USD;USD;7;RTB;6;1;banner;Bundle;CPM;Flat CPM;--;1;0;0;0.00231
